year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled
1950,29,1155.824093765,1155.824093765,0.0,True
1951,29,1271.40650322,1271.40650322,0.0,True
1952,29,1618.1537312840999,1618.1537312841,2.2737367544323206e-13,True
1953,30,1965.7905372674,1965.7905372674,0.0,True
1954,30,1854.8406473920998,1854.8406473920998,0.0,True
1955,30,1969.2481423295,1969.2481423294998,-2.2737367544323206e-13,True
1956,30,1968.4760557622,1968.4760557621998,-2.2737367544323206e-13,True
1957,30,2082.3296624892,2082.3296624892,0.0,True
1958,30,1965.891244211,1965.891244211,0.0,True
1959,30,2082.2289555456,2082.2289555456,0.0,True
1960,32,1967.6590458985,1967.6590458985,0.0,True
1961,32,2433.7185833080002,2433.718583308,-4.547473508864641e-13,True
1962,30,2083.1856715094,2083.1856715094,0.0,True
1963,30,2316.1296467692,2316.1296467692,0.0,True
1964,32,2313.2273817517,2313.2273817517,0.0,True
1965,32,3007.6383814169,3007.6383814169003,4.547473508864641e-13,True
1966,30,3008.8352318724997,3008.8352318725,4.547473508864641e-13,True
1967,29,4427.686645767,4427.686645767,0.0,True
1968,29,5366.8929039820005,5366.892903982,-9.094947017729282e-13,True
1969,30,6171.9391301815995,6171.9391301816,9.094947017729282e-13,True
1970,30,7111.136821980001,7111.136821980001,0.0,True
1971,30,7111.1355803470005,7111.1355803470005,0.0,True
1972,31,7130.0918273177,7130.0918273177,0.0,True
1973,31,7130.0914134401,7130.0914134401,0.0,True
1974,33,7512.317844210899,7512.317844210899,0.0,True
1975,34,7466.864815478099,7466.864815478099,0.0,True
1976,32,7468.8929235902,7468.8929235902,0.0,True
1977,34,7387.0769982052,7387.0769982052,0.0,True
1978,32,8079.943325174201,8079.943325174201,0.0,True
1979,35,8023.973791551301,8023.973791551301,0.0,True
1980,31,7962.4790957818,7962.4790957817995,-9.094947017729282e-13,True
1981,30,8309.209463290701,8309.2094632907,-1.8189894035458565e-12,True
1982,35,7628.5551311455,7628.5551311455,0.0,True
1983,27,7934.5857416741,7934.5857416741,0.0,True
1984,29,5883.8370875856,5883.8370875856,0.0,True
1985,28,9877.5371512481,9877.5371512481,0.0,True
1986,28,9298.1462143665,9298.1462143665,0.0,True
1987,34,11384.0329370819,11384.0329370819,0.0,True
1988,34,11016.653702108,11016.653702108,0.0,True
1989,36,9337.6944129539,9337.6944129539,0.0,True
1990,37,10807.904092538,10807.904092538,0.0,True
1991,49,3110.1749528008,3110.1749528008,0.0,True
1992,47,2384.7977983102,2384.7977983102,0.0,True
1993,49,2262.3064763741,2262.3064763741,0.0,True
1994,55,2072.7583838442,2072.7583838442,0.0,True
1995,116,3327.9844475191,3327.9844475191003,4.547473508864641e-13,True
1996,109,9580.0318556686,9580.0318556686,0.0,True
1997,128,3167.9940981484,3167.9940981484,0.0,True
1998,79,5472.9581000979,5472.9581000979,0.0,True
1999,82,4456.8912954354,4456.8912954354,0.0,True
2000,82,4959.7258691578,4959.7258691578,0.0,True
2001,102,8189.3965359122,8189.3965359122,0.0,True
2002,86,3247.4669619878,3247.4669619878,0.0,True
2003,100,2444.7560412117,2444.7560412117,0.0,True
2004,104,3960.1667263173,3960.1667263173003,4.547473508864641e-13,True
2005,104,4390.669307534,4390.669307534,0.0,True
2006,93,5259.5415901626,5259.5415901626,0.0,True
2007,97,4379.1613626395,4379.1613626395,0.0,True
2008,102,5775.7256067286,5775.7256067286,0.0,True
2009,100,5366.337940196599,5366.337940196599,0.0,True
2010,93,4945.3627829845,4945.3627829845,0.0,True
2011,89,3946.48806866,3946.48806866,0.0,True
2012,75,9307.6473702446,9307.6473702446,0.0,True
2013,79,9693.1977937162,9693.1977937162,0.0,True
2014,76,8404.691927846801,8404.6919278468,-1.8189894035458565e-12,True
2015,75,7439.2927518402,7439.2927518402,0.0,True
2016,75,7252.5620967275,7252.5620967275,0.0,True
2017,81,7332.3441417721,7332.3441417721,0.0,True
2018,83,8051.0266418452,8051.0266418452,0.0,True
2019,81,7591.6342411198,7591.6342411198,0.0,True
