unit_id,year,match_method,tl_source,match_confidence,taxa_count,catch_tonnes
EEZ_008,1950,exact_2020_supplement,2020 supplement MeanTL,high,2,203.38070611199998
EEZ_008,1950,exact_sea_around_us,Sea Around Us exploited organisms,high,3,952.443387653
EEZ_008,1951,exact_2020_supplement,2020 supplement MeanTL,high,2,223.718776752
EEZ_008,1951,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1047.687726468
EEZ_008,1952,exact_2020_supplement,2020 supplement MeanTL,high,2,284.73298859400006
EEZ_008,1952,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1333.4207426901
EEZ_008,1953,exact_2020_supplement,2020 supplement MeanTL,high,3,346.6367783464
EEZ_008,1953,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1619.153758921
EEZ_008,1954,exact_2020_supplement,2020 supplement MeanTL,high,3,330.9312272
EEZ_008,1954,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1523.9094201920998
EEZ_008,1955,exact_2020_supplement,2020 supplement MeanTL,high,3,350.0943834085
EEZ_008,1955,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1619.153758921
EEZ_008,1956,exact_2020_supplement,2020 supplement MeanTL,high,3,349.3222968412
EEZ_008,1956,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1619.153758921
EEZ_008,1957,exact_2020_supplement,2020 supplement MeanTL,high,3,367.93156495119996
EEZ_008,1957,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1714.398097538
EEZ_008,1958,exact_2020_supplement,2020 supplement MeanTL,high,3,346.73748529
EEZ_008,1958,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1619.153758921
EEZ_008,1959,exact_2020_supplement,2020 supplement MeanTL,high,3,367.8308580076
EEZ_008,1959,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1714.398097538
EEZ_008,1960,exact_2020_supplement,2020 supplement MeanTL,high,5,348.5052869775
EEZ_008,1960,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1619.153758921
EEZ_008,1961,exact_2020_supplement,2020 supplement MeanTL,high,5,433.587469119
EEZ_008,1961,exact_sea_around_us,Sea Around Us exploited organisms,high,3,2000.131114189
EEZ_008,1962,exact_2020_supplement,2020 supplement MeanTL,high,3,368.7875739714
EEZ_008,1962,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1714.398097538
EEZ_008,1963,exact_2020_supplement,2020 supplement MeanTL,high,3,411.2428711842
EEZ_008,1963,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1904.8867755850001
EEZ_008,1964,exact_2020_supplement,2020 supplement MeanTL,high,4,408.34060616669996
EEZ_008,1964,exact_sea_around_us,Sea Around Us exploited organisms,high,3,1904.8867755850001
EEZ_008,1965,exact_2020_supplement,2020 supplement MeanTL,high,4,531.2855733119001
EEZ_008,1965,exact_sea_around_us,Sea Around Us exploited organisms,high,3,2476.352808105
EEZ_008,1966,exact_2020_supplement,2020 supplement MeanTL,high,3,532.4824237675
EEZ_008,1966,exact_sea_around_us,Sea Around Us exploited organisms,high,3,2476.352808105
EEZ_008,1967,exact_2020_supplement,2020 supplement MeanTL,high,2,699.16686681
EEZ_008,1967,exact_sea_around_us,Sea Around Us exploited organisms,high,3,3728.519778957
EEZ_008,1968,exact_2020_supplement,2020 supplement MeanTL,high,2,847.474989951
EEZ_008,1968,exact_sea_around_us,Sea Around Us exploited organisms,high,3,4519.417914031
EEZ_008,1969,exact_2020_supplement,2020 supplement MeanTL,high,3,974.6085297406
EEZ_008,1969,exact_sea_around_us,Sea Around Us exploited organisms,high,3,5197.330600441001
EEZ_008,1970,exact_2020_supplement,2020 supplement MeanTL,high,3,1122.908086724
EEZ_008,1970,exact_sea_around_us,Sea Around Us exploited organisms,high,3,5988.228735256001
EEZ_008,1971,exact_2020_supplement,2020 supplement MeanTL,high,3,1122.9068450910002
EEZ_008,1971,exact_sea_around_us,Sea Around Us exploited organisms,high,3,5988.228735256001
EEZ_008,1972,exact_2020_supplement,2020 supplement MeanTL,high,4,1141.8630920617002
EEZ_008,1972,exact_sea_around_us,Sea Around Us exploited organisms,high,3,5988.228735256001
EEZ_008,1973,exact_2020_supplement,2020 supplement MeanTL,high,4,1141.8626781841
EEZ_008,1973,exact_sea_around_us,Sea Around Us exploited organisms,high,3,5988.228735256001
EEZ_008,1974,exact_2020_supplement,2020 supplement MeanTL,high,5,1298.1182121209
EEZ_008,1974,exact_sea_around_us,Sea Around Us exploited organisms,high,3,6214.199632090001
EEZ_008,1975,exact_2020_supplement,2020 supplement MeanTL,high,5,1252.6651826886
EEZ_008,1975,exact_sea_around_us,Sea Around Us exploited organisms,high,3,6214.199632789499
EEZ_008,1976,exact_2020_supplement,2020 supplement MeanTL,high,4,1256.9529886805
EEZ_008,1976,exact_sea_around_us,Sea Around Us exploited organisms,high,3,6211.939934909699
EEZ_008,1977,exact_2020_supplement,2020 supplement MeanTL,high,4,1184.1758857441
EEZ_008,1977,exact_sea_around_us,Sea Around Us exploited organisms,high,3,6202.9011124611
EEZ_008,1978,exact_2020_supplement,2020 supplement MeanTL,high,4,1312.1149717587
EEZ_008,1978,exact_sea_around_us,Sea Around Us exploited organisms,high,3,6767.828353415501
EEZ_008,1979,exact_2020_supplement,2020 supplement MeanTL,high,6,1301.3396446823
EEZ_008,1979,exact_sea_around_us,Sea Around Us exploited organisms,high,3,6722.634146869001
EEZ_008,1980,exact_2020_supplement,2020 supplement MeanTL,high,4,1296.3376722058
EEZ_008,1980,exact_sea_around_us,Sea Around Us exploited organisms,high,3,6666.141423575999
EEZ_008,1981,exact_2020_supplement,2020 supplement MeanTL,high,3,1368.5134024457
EEZ_008,1981,exact_sea_around_us,Sea Around Us exploited organisms,high,3,6940.696060845
EEZ_008,1982,exact_2020_supplement,2020 supplement MeanTL,high,5,1282.5251085662
EEZ_008,1982,exact_sea_around_us,Sea Around Us exploited organisms,high,4,6346.030022579301
EEZ_008,1983,exact_2020_supplement,2020 supplement MeanTL,high,3,1299.9437911021
EEZ_008,1983,exact_sea_around_us,Sea Around Us exploited organisms,high,2,6634.6419505720005
EEZ_008,1984,exact_2020_supplement,2020 supplement MeanTL,high,4,975.4558938076
EEZ_008,1984,exact_sea_around_us,Sea Around Us exploited organisms,high,2,4908.381193778
EEZ_008,1985,exact_2020_supplement,2020 supplement MeanTL,high,4,1572.3861494230998
EEZ_008,1985,exact_sea_around_us,Sea Around Us exploited organisms,high,2,8305.151001825001
EEZ_008,1986,exact_2020_supplement,2020 supplement MeanTL,high,4,1401.3968303765
EEZ_008,1986,exact_sea_around_us,Sea Around Us exploited organisms,high,2,7896.74938399
EEZ_008,1987,exact_2020_supplement,2020 supplement MeanTL,high,4,1878.0296746349002
EEZ_008,1987,exact_sea_around_us,Sea Around Us exploited organisms,high,4,9506.003262447
EEZ_008,1988,exact_2020_supplement,2020 supplement MeanTL,high,4,2076.886759845
EEZ_008,1988,exact_sea_around_us,Sea Around Us exploited organisms,high,4,8939.766942263
EEZ_008,1989,exact_2020_supplement,2020 supplement MeanTL,high,5,1417.0423613808
EEZ_008,1989,exact_sea_around_us,Sea Around Us exploited organisms,high,4,7920.6520515731
EEZ_008,1990,exact_2020_supplement,2020 supplement MeanTL,high,5,1908.172757236
EEZ_008,1990,exact_sea_around_us,Sea Around Us exploited organisms,high,4,8899.731335302
EEZ_008,1991,exact_2020_supplement,2020 supplement MeanTL,high,6,694.7969338967
EEZ_008,1991,exact_sea_around_us,Sea Around Us exploited organisms,high,4,2415.3780189041004
EEZ_008,1992,exact_2020_supplement,2020 supplement MeanTL,high,6,533.7192317073
EEZ_008,1992,exact_sea_around_us,Sea Around Us exploited organisms,high,5,1851.0785666028999
EEZ_008,1993,exact_2020_supplement,2020 supplement MeanTL,high,6,462.0022486001
EEZ_008,1993,exact_sea_around_us,Sea Around Us exploited organisms,high,5,1800.3042277739999
EEZ_008,1994,exact_2020_supplement,2020 supplement MeanTL,high,6,497.5830208821
EEZ_008,1994,exact_sea_around_us,Sea Around Us exploited organisms,high,6,1575.1753629620998
EEZ_008,1995,exact_2020_supplement,2020 supplement MeanTL,high,19,1510.6398256868001
EEZ_008,1995,exact_sea_around_us,Sea Around Us exploited organisms,high,10,1817.3446218323002
EEZ_008,1996,exact_2020_supplement,2020 supplement MeanTL,high,16,7106.2086553194
EEZ_008,1996,exact_sea_around_us,Sea Around Us exploited organisms,high,8,2473.8232003492
EEZ_008,1997,exact_2020_supplement,2020 supplement MeanTL,high,21,1655.3500493276
EEZ_008,1997,exact_sea_around_us,Sea Around Us exploited organisms,high,9,1512.6440488208
EEZ_008,1998,exact_2020_supplement,2020 supplement MeanTL,high,9,2741.732912913
EEZ_008,1998,exact_sea_around_us,Sea Around Us exploited organisms,high,6,2731.2251871849
EEZ_008,1999,exact_2020_supplement,2020 supplement MeanTL,high,9,1692.1182544556998
EEZ_008,1999,exact_sea_around_us,Sea Around Us exploited organisms,high,6,2764.7730409797005
EEZ_008,2000,exact_2020_supplement,2020 supplement MeanTL,high,11,1709.7139434297999
EEZ_008,2000,exact_sea_around_us,Sea Around Us exploited organisms,high,7,3250.011925728
EEZ_008,2001,exact_2020_supplement,2020 supplement MeanTL,high,17,5827.423317111599
EEZ_008,2001,exact_sea_around_us,Sea Around Us exploited organisms,high,7,2361.9732188006
EEZ_008,2002,exact_2020_supplement,2020 supplement MeanTL,high,14,801.0805083171
EEZ_008,2002,exact_sea_around_us,Sea Around Us exploited organisms,high,7,2446.3864536707
EEZ_008,2003,exact_2020_supplement,2020 supplement MeanTL,high,18,925.6661730323
EEZ_008,2003,exact_sea_around_us,Sea Around Us exploited organisms,high,7,1519.0898681794001
EEZ_008,2004,exact_2020_supplement,2020 supplement MeanTL,high,18,900.8702975087
EEZ_008,2004,exact_sea_around_us,Sea Around Us exploited organisms,high,7,3059.2964288086
EEZ_008,2005,exact_2020_supplement,2020 supplement MeanTL,high,20,1288.0660222516
EEZ_008,2005,exact_sea_around_us,Sea Around Us exploited organisms,high,7,3102.6032852824
EEZ_008,2006,exact_2020_supplement,2020 supplement MeanTL,high,16,1613.568706791
EEZ_008,2006,exact_sea_around_us,Sea Around Us exploited organisms,high,8,3645.9728833716
EEZ_008,2007,exact_2020_supplement,2020 supplement MeanTL,high,24,1354.6803771574
EEZ_008,2007,exact_sea_around_us,Sea Around Us exploited organisms,high,6,3024.4809854821
EEZ_008,2008,exact_2020_supplement,2020 supplement MeanTL,high,20,2274.9086613997
EEZ_008,2008,exact_sea_around_us,Sea Around Us exploited organisms,high,5,3500.8169453289
EEZ_008,2009,exact_2020_supplement,2020 supplement MeanTL,high,21,1575.3377353791
EEZ_008,2009,exact_sea_around_us,Sea Around Us exploited organisms,high,5,3791.0002048174997
EEZ_008,2010,exact_2020_supplement,2020 supplement MeanTL,high,23,1432.1413271927001
EEZ_008,2010,exact_sea_around_us,Sea Around Us exploited organisms,high,5,3513.2214557918
EEZ_008,2011,exact_2020_supplement,2020 supplement MeanTL,high,14,530.7632235013
EEZ_008,2011,exact_sea_around_us,Sea Around Us exploited organisms,high,4,3415.7248451586997
EEZ_008,2012,exact_2020_supplement,2020 supplement MeanTL,high,10,1243.7603238265
EEZ_008,2012,exact_sea_around_us,Sea Around Us exploited organisms,high,4,8063.8870464181
EEZ_008,2013,exact_2020_supplement,2020 supplement MeanTL,high,13,1295.7889737627
EEZ_008,2013,exact_sea_around_us,Sea Around Us exploited organisms,high,4,8397.4088199535
EEZ_008,2014,exact_2020_supplement,2020 supplement MeanTL,high,11,1103.2614213195
EEZ_008,2014,exact_sea_around_us,Sea Around Us exploited organisms,high,4,7301.4305065273
EEZ_008,2015,exact_2020_supplement,2020 supplement MeanTL,high,10,996.8974908248999
EEZ_008,2015,exact_sea_around_us,Sea Around Us exploited organisms,high,4,6442.3952610153
EEZ_008,2016,exact_2020_supplement,2020 supplement MeanTL,high,10,953.3456945562
EEZ_008,2016,exact_sea_around_us,Sea Around Us exploited organisms,high,4,6299.216402171301
EEZ_008,2017,exact_2020_supplement,2020 supplement MeanTL,high,12,957.9889012845
