commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Anchovies,1,1,10440.2019777161,10440.2019777161,0.0,1.0,128.82495516931337,1344958.5517378533,3.11,128.82495516931337,1344958.5517378533,0.0,1.0,0.0
Cod-likes,7,7,2346.3963411505,2346.3963411505,0.0,1.0,1034.273532644761,2426815.632746469,3.9481895835327423,887.5433687588542,2082528.5130681645,344287.11967830476,1.1653216834813322,0.16532168348133233
Crustaceans,14,14,14231.7094574,14231.7094574,0.0,1.0,181.41638527591223,2581865.2860585223,3.2235453819166517,167.31904685145736,2381236.0614790395,200629.2245794828,1.0842542357832712,0.08425423578327108
Flatfishes,6,6,486.89431474660006,486.89431474660006,0.0,1.0,413.7113899306505,201433.72370314752,3.547428713201062,352.71888520624736,171736.8199106805,29696.903792467027,1.1729210067352607,0.17292100673526065
Herring-likes,3,3,72162.08903470742,72162.08903470742,0.0,1.0,96.14473831990594,6938005.1668596985,2.960119181780417,91.22611533614433,6583067.057177335,354938.10968236346,1.0539168303466366,0.053916830346636725
Molluscs,3,3,181.6985737328,181.6985737328,0.0,1.0,21.41399890029413,3890.893058099191,2.1181275067598584,13.125852111245381,2384.9486076409476,1505.9444504582434,1.6314368559697545,0.6314368559697544
Other fishes & inverts,29,29,36809.37634451221,36809.37634451221,0.0,1.0,306.752228240694,11291358.213829413,3.372264786214011,235.64855782673092,8674076.450085687,2617281.7637437265,1.3017360728608602,0.30173607286086024
Perch-likes,56,56,53735.6639720045,53735.6639720045,0.0,1.0,464.04002308043,24935498.7498112,3.5230301224048044,333.44953982128783,17918132.423456255,7017366.326354943,1.3916349182222056,0.3916349182222057
"Salmon, smelts, etc",2,2,339.5530731604,339.5530731604,0.0,1.0,346.59152463875927,117686.2173224392,3.521682433526002,332.4163936145811,112873.00802072819,4813.209301711016,1.042642695415959,0.04264269541595907
Scorpionfishes,10,10,5302.6204981845995,5302.6204981845995,0.0,1.0,706.0195696931145,3743753.8423741795,3.838393249933915,689.2761475040745,3654969.828664817,88784.0137093626,1.024291312342186,0.02429131234218586
Sharks & rays,40,40,19304.209336284202,19304.209336284202,0.0,1.0,2084.8796074186325,40246952.38255931,4.293021766940148,1963.4586833744943,37903017.4470062,2343934.9355531037,1.0618403254788424,0.06184032547884235
Tuna & billfishes,16,16,21303.7434756212,21303.7434756212,0.0,1.0,2798.795382913612,59624818.87834459,4.435353842266774,2724.9205381582938,58051008.136375956,1573810.7419686317,1.0271108253326344,0.027110825332634484
